ID,premise_english,hypothesis_english,original_label,assigned_phenomenon
ANLI1886,"Those accused of the assassination of six Jesuits, if found guilty, will be punished whether they are civilians, military, or influential people.",The accused will be released if they innocent,Neutral,conditionality
ANLI2372,"FermiLab's goal is to ensure that if a program runs and is certified on RedHat Enterprise, then it will run on the corresponding Fermi Linux LTS release. They have built Fermi Linux LTS for Fermilab's use, and that is their ultimate goal.",They will only build for Fermilab.,Neutral,conditionality
ANLI2455,Robin Rimbaud (born 1964) is an electronic musician who works under the name Scanner due to his use of cell phone and police scanners in live performance. He is also a member of the band Githead with Wire's Colin Newman and Malka Spigel and Max Franken from Minimal Compact.,"If you take the year Robin Rimbaud was born in and reverse the digits, you would get 4691.",Entailment,conditionality
ANLI2646,"How to avoid insect bites while sleeping<br>Determine what's biting you. You will be able to prevent future bites if you know what sort of bugs you're dealing with. Bed bug bites, most common around the home, are large, splotchy, red bites.",The most common home bug bite is a red bug bite.,Contradiction,conditionality
ANLI3353,"Yes, it does. Take, for example, Third World debt. I think we ought to be forgiving Third World debt under certain conditions. I think, for example, if we're convinced that a Third World country that's got a lot of debt would reform itself, that the money wouldn't go into the hands of a few but would go to help people, I think it makes sense for us to use our wealth in that way, or to trade debt for valuable rain forest lands, makes that much sense, yes.",Third World debt has a xx,Contradiction,conditionality
ANLI3736,"Why wouldn't it? If the equity argument under the Necessary and Proper Clause justifies extension of the copyright for those whose copyright will expire tomorrow if it's not extended, in order to put them on parity with those getting copyrights for new works, why doesn't it apply to the copyright, the holder of the copyright that expired yesterday?",The Necessary and Proper Clause applies particularly to expired copyrights.,Neutral,conditionality
ANLI3838,"""This letter is in regard to the comments made by Beth Eveland from York Township in the June York Sunday News. I assure you that the Dover Area School Board is not going against its mission statement. In fact, if you read the statement, it says to educate our students so that they can be contributing members of society.",Eveland is from the township of Orange County.,Contradiction,conditionality
ANLI3963,"If Senator Ghitter is correct about his interpretation of the motion, that would mean that the committee adopted a proposition that was contrary to the Rules of the Senate while he was in the chair; that he and the other committee members and the clerk of the committee understood this motion to mean that he had to report by twelve noon today, even though the Senate would not be sitting until 4 p.m. today; and that no one, including himself, knew that this would be contrary to the rules.",Senator Ghitter is going to run for president.,Neutral,conditionality
ANLI3984,"MALAKOFF, TEXAS—An East Texas man and woman have been arrested after a 70-year-old woman said they kept her in a dog kennel, beat and kicked her, withheld food and water, and forced her to walk on broken glass. Tyler television station KLTV reports 47-year-old Leonnia Darlene Anderson Castillo of Log Cabin is charged with first-degree felony injury to the elderly and being held at the Henderson County Jail in Athens on a $50,000 bond. A jail booking officer declined to say if she had an attorney.",the east texas man and woman are of sound mind,Neutral,conditionality
ANLI4881,"In September, 1998, an invitation was sent by that committee to Dr. Chopra and others to appear before the committee, and a notice of meeting was issued for October 1, 1998. That meeting, however, was cancelled as the scientists stated that they were concerned about the repercussions on their careers if they appeared before our committee.",The meeting was held October 1 1998.,Contradiction,conditionality
ANLI4982,"North Korea states intention to restart reactors, throws out IAEA inspectors and takes down inspection cameras, announces immediate withdrawal from the Nuclear Non-Proliferation Treaty and makes threats of war if the UN or the United States imposes sanctions.",Threats were made at a certain time in history regarding the uncertainty of particular sanctions being implemented. These sanctions would make an entity extremely upset.,Entailment,conditionality
ANLI5573,"FermiLab's goal is to ensure that if a program runs and is certified on RedHat Enterprise, then it will run on the corresponding Fermi Linux LTS release. They have built Fermi Linux LTS for Fermilab's use, and that is their ultimate goal.",A program can run on the corresponding Fermi Linux LTS release if it is not RedHat Enterprise certified.,Contradiction,conditionality
ANLI5614,"How to clean cork floors<br>Sweep regularly. Use a soft-bristled broom, a dust mop, or a vacuum cleaner with a soft brush attachment. Depending on how heavily you use the area, repeat 2-7 times a week, or whenever you notice it getting dusty.","If you never use the area, it will be enough with a couple of times a week",Entailment,conditionality
ANLI6507,"Tue 10/10 @ 2:30PM Oberlin is the proud location of an iconic home by the legendary architect Frank Lloyd Wright, the Weltzheimer/Johnson House, completed in 1949. If you'd like to learn more about its design and how it came to be, come to the Tuesday Tea at Oberlin's Allen Memorial Art Museum. There Jill Greenwood, the museum's Nord Family Curator of Education, will share stories about the Weltzheimer family who commissioned the house. And yes, there will be tea and cookies after the presentation. It's free. oberlin.edu/amam/ Post categories:",The home was completed in the 1940s.,Entailment,conditionality
ANLI7123,"They refuse to testify at a deposition, and my suggestion to them was that if we were capable of resolving something as a result of this conference, that they would then attend a deposition, because I believe the defendants would have a right to cross-examine them or otherwise examine them prior to them taking the stand. And based upon that, they would then testify in court.","The ""they"" referenced in this context have sided completely with the prosecution.",Neutral,conditionality
ANLI7231,"How to drain the gas tank of your car<br>Run the car close to empty, if possible. Unless you have the wrong fuel in the tank, turn the car on and run the gas down towards empty by driving around. Park the car and let it cool before beginning to drain it.",The article says to use up the majority of the gas in the car.,Entailment,conditionality
ANLI7349,"The charges came after the auditor-general revealed last month that some details had been removed from the 1MDB report. Kandasamy led 1MDB from 2015 until he was terminated in June. The two men were released on bail, and face up to 20 years in prison if found guilty.",The two men are in prison for 20 years.,Contradiction,conditionality
ANLI7550,"How to win in an unarmed combat situation<br>First of all, it is imperative that you assess your situation. Going into a fight blind will never end well. Assess why your adversary is picking a fight and if he is alone, intoxicated, or armed.",Its helpful to know if your opponent has had too much to drink,Entailment,conditionality
ANLI7652,"Neverland Valley Ranch, owned by Michael Jackson, is to be sold at auction on March 19, 2008, unless Jackson pays over US$24 million. Financial Title Company, the trustee of his Santa Barbara County, California, home and amusement park, has foreclosed on the property. They notified Jackson of the foreclosure and sale on Monday. Jackson had only just recently paid an overdue property tax bill of $600,000.",Michael Jackson is dead,Entailment,conditionality
ANLI7728,"I think that we have to put more emphasis on early learning and pre-school. Now, here is how that connects with all the rest of what we've been talking about. If you have -- if you squander the surplus on a huge tax cut that goes mostly to those at the top, then you can't make education the top priority.",No emphasis has been put on early learning,Neutral,conditionality
ANLI8029,How to go to the gyeongbokgung palace<br>Take the jogno bus 11 if you're spending the day in jogno. The jongno bus 11 makes a perfect sightseeing loop through the historical district with stops along the east side of the palace grounds. Get off at the national folk museum stop and walk from there to the main entrance.,Get off at the national folk park stop and walk from there to the main entrance.,Contradiction,conditionality
ANLI8421,"DETROIT (WXYZ) - Police are investigating after one man was killed and another was injured at a bus stop shooting Sunday night, police said. It happened at about 7:30 p.m. near Livernois and Warren on Detroit's west side. Police said the two men are in their 20's. The surviving victim took a bus to the hospital, where he is listed in stable condition, police added. Police have no information about a suspect at this time. If you have any information about this shooting, call Detroit police. STAY WITH WXYZ.COM FOR UPDATES ON THIS DEVELOPING STORY.",The shooting lasted until Tuesday morning,Contradiction,conditionality
ANLI8762,"The original spelling reform of 1996, which was meant to harmonize the spelling rules across the German-speaking countries, turned out to be a major embarrassment if not outright failure.",The reform was meant to harmonize spelling rules. ,Entailment,conditionality
ANLI8928,"How to check engine vacuum hoses<br>Check each hose for bulges and swelling. If a hose feels soft or spongy when you touch it, this can indicate damage caused by your car's oil. [substeps] A swollen hose that is cracked and hard is often caused by heat damage.",How your hose looks will tell you how it was damaged.,Entailment,conditionality
ANLI8969,How to stop getting so hot while sleeping<br>Use air conditioning. The simplest way to keep your room cool while you sleep is to use your air conditioner if you have one. Central air or a portable window unit will both do the trick.,People like sleeping in a cold room,Neutral,conditionality
ANLI9246,"Chris McKendry (born Christine McKendry February 18, 1968) is a journalist for ESPN, a role she has served since 1996. She was co-anchor of the 11-1pm ET weekday block of live ESPN ""SportsCenter"" shows, alongside Jay Crawford. As of April 1, 2016, she serves as full-time on-site host for ESPN tennis coverage of the Australian Open, French Open, Wimbledon and US Open.","If you used to watch SportsCenter at 12pm on Wednesdays, there is a chance you know who Chris McKendry is.",Entailment,conditionality
ANLI9553,"And I was surprised at the extent of it. And I think we've now got so many examples around the country that we really have to find ways to end this. Imagine what it -- what it is like for someone to be singled out unfairly, unjustly, and feel the unfair force of law simply because of race or ethnicity.",Being singled out if fair,Contradiction,conditionality
ANLI9979,"So we've got to enforce our civil rights laws. We've got to deal with things like racial profiling. And we have to keep our military strong. We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way.",The agent was part of the military,Neutral,conditionality
ANLI10192,"How to grow african violets indoors<br>Buy pre-rooted african violets at a nursery, greenhouse or retail store. Because many houseplant enthusiasts grow african violets as part of their collection, they are usually easy to find. It's best to grow the violets from a pre-rooted plant, as growing african violets from seeds can be extremely difficult.",Anyone can grow african violets if they just have the willpower.,Neutral,conditionality
ANLI10204,How to stop getting so hot while sleeping<br>Use air conditioning. The simplest way to keep your room cool while you sleep is to use your air conditioner if you have one. Central air or a portable window unit will both do the trick.,Only go to sleep when its cool,Neutral,conditionality
ANLI10304,"The Nobel committee said in a statement that ""lasting peace cannot be achieved unless large population groups find ways in which to break out of poverty.""",Lasting peace will be achieved,Neutral,conditionality
ANLI10925,"How to wake up in the middle of the night<br>Practice by waking up at the same time for a month. Nerves in your brain control your body's clock, known as your circadian rhythm. This rhythm is established by following a predictable routine, which is why you are able to wake up at the same time on the weekend as you are during the week if all factors are equal.","Daylights savings time will affect your practice, take it into account.",Neutral,conditionality
ANLI11446,"How to determine if you have adult adhd<br>Be aware of being easily distracted. Difficulty concentrating, getting bored very quickly, and a short attention span are where the' attention deficit' part of the name adhd come from. You can determine if you have adult adhd if you notice how often you are distracted.",Adults can have adhd.,Entailment,conditionality
ANLI13644,Bill C-3 provides a dangerous and unnecessary exemption authorizing judges not to issue warrants for the taking of a sample if they believe that in doing so the impact on the individual's privacy and security would be grossly disproportionate to the public interest in the protection of society.,Bill C-3 provides an exemption that authorizes judges to take samples.,Contradiction,conditionality
ANLI13860,"How to prevent lung cancer<br>Stop smoking tobacco products. Cigarette and tobacco smoke contains harmful substances known as carcinogens that can damage the cells lining your lungs. Over time, smoking can lead to the development and multiplication of abnormal cells and increase your risk for lung cancer.","If you stop smoking tobacco products, you will not get lung cancer.",Neutral,conditionality
ANLI14011,GM established grounds for suspicion of industrial spying by presenting affidavits from its employees. The aim will be to determine if VW's project was copied from GM data - essential if industrial espionage is to be proved.,Employees were reluctant to give affidavigts.,Neutral,conditionality
ANLI14103,"Tenzin Gyatso, the 14th Dalai Lama, has vowed to step down from his position if things ""get out of control"" in Tibet, where violent demonstrations against China have killed anywhere from 13 to 100 people. At a news conference in Dharamsala, India, the Dalai Lama said he was opposed to the use of violence against China's rule. ""Violence is almost suicide,"" he said. ""Even if 1,000 Tibetans sacrifice their lives, it will not help."" However, he acknowledges that many radical Tibetans have criticized his policy of non-violence, and says that his only option is to ""completely resign"" if the bloodshed continues.",Dalai Lama is a peace loving leader,Entailment,conditionality
ANLI14744,How to go to the gyeongbokgung palace<br>Take the jogno bus 11 if you're spending the day in jogno. The jongno bus 11 makes a perfect sightseeing loop through the historical district with stops along the east side of the palace grounds. Get off at the national folk museum stop and walk from there to the main entrance.,Jongno has a fleet of buses ,Neutral,conditionality
ANLI15070,"Why wouldn't it? If the equity argument under the Necessary and Proper Clause justifies extension of the copyright for those whose copyright will expire tomorrow if it's not extended, in order to put them on parity with those getting copyrights for new works, why doesn't it apply to the copyright, the holder of the copyright that expired yesterday?",This person studies copyright law,Neutral,conditionality
ANLI15489,"If you have rheumatic heart disease, high blood pressure, or diabetes, or take digitalis drugs, vitamin E can be harmful.",Don't take vitamin E.,Neutral,conditionality
ANLI15683,"That's got to mean something, and if it means that we are limited in our ability to agree with the Europeans as they continually expand the term in light of their own vision of what copyright is about, then that's the meaning of a constitutional restriction.",Europeans change copyright details,Entailment,conditionality
ANLI16734,"(CNN) — A popular type of phone case is being recalled because of a risk of chemical burns. Chinese-based compant Mixbin Electronics sells iPhone cases globally, both online and in stores. Nearly 275,000 of the brand’s glittery cases are being recalled. The cases contain an unidentified liquid. The manufacturer said the liquid can spill if the cases crack or break. So far, there are 24 reports of chemical burns or skin irritation from the liquid inside of the case. Customers are urged to stop using the cases immediately and request a refund from the company.",Mixbin Electronics makes electronics,Entailment,conditionality
ANLI17724,"Thirdly, one of the reasons why there's still high cost in medicine is because this is -- they don't use any information technology. It's like if you looked at the -- it's the equivalent of the buggy and horse days, compared to other industries here in America.",Medicine has came along way since it first started in the America's.,Contradiction,conditionality
